8.20 	| 82107  	| 2538    	| 3.09%	| Dead Dead Demons Dededede Destruction
7.89 	| 117915  	| 3693    	| 3.13%	| Sun-Ken Rock
8.00 	| 146013  	| 4580    	| 3.14%	| Ajin
8.56 	| 58142  	| 1833    	| 3.15%	| The Fable
8.29 	| 47582  	| 1556    	| 3.27%	| SSS-Class Revival Hunter
8.19 	| 65171  	| 2142    	| 3.29%	| Innocent
8.41 	| 87304  	| 3070    	| 3.52%	| Mugen no Juunin
8.56 	| 76910  	| 2761    	| 3.59%	| Otoyomegatari
8.55 	| 77551  	| 2814    	| 3.63%	| Billy Bat
8.28 	| 71625  	| 2780    	| 3.88%	| Annarasumanara
8.87 	| 37870  	| 1479    	| 3.91%	| Mikkakan no Koufuku
8.22 	| 175969  	| 6956    	| 3.95%	| Jigokuraku
8.50 	| 119656  	| 4788    	| 4.00%	| Watashitachi no Shiawase na Jikan
8.36 	| 45699  	| 1865    	| 4.08%	| Shadows House
8.49 	| 41469  	| 1811    	| 4.37%	| Bakemonogatari
7.92 	| 201921  	| 8942    	| 4.43%	| Fire Punch
8.21 	| 127082  	| 5712    	| 4.49%	| Solanin
8.17 	| 102624  	| 4792    	| 4.67%	| Yofukashi no Uta
8.18 	| 2421  	| 118    	| 4.87%	| I Love Amy
8.20 	| 202975  	| 10223    	| 5.04%	| Dr. Stone
8.12 	| 54937  	| 2838    	| 5.17%	| Sabishisugite Lesbian Fuuzoku ni Ikimashita Report
8.35 	| 154794  	| 8042    	| 5.20%	| Homunculus
8.47 	| 161925  	| 8509    	| 5.25%	| JoJo no Kimyou na Bouken Part 8: JoJolion
8.46 	| 184672  	| 9809    	| 5.31%	| Dandadan
8.04 	| 57102  	| 3036    	| 5.32%	| Gakkougurashi!
8.27 	| 31970  	| 1718    	| 5.37%	| Trigun Maximum
8.62 	| 143172  	| 7764    	| 5.42%	| Omniscient Reader's Viewpoint
8.46 	| 66137  	| 3615    	| 5.47%	| Shimanami Tasogare
8.29 	| 167616  	| 9248    	| 5.52%	| Blame!
8.63 	| 102381  	| 5695    	| 5.56%	| Golden Kamuy
8.73 	| 173823  	| 10599    	| 6.10%	| Made in Abyss
8.77 	| 98184  	| 6354    	| 6.47%	| Dungeon Meshi
8.28 	| 213439  	| 13872    	| 6.50%	| Claymore
8.24 	| 469574  	| 33479    	| 7.13%	| Jujutsu Kaisen
8.20 	| 171717  	| 12786    	| 7.45%	| Aku no Hana
8.09 	| 246967  	| 18723    	| 7.58%	| Gantz
8.28 	| 165224  	| 12580    	| 7.61%	| D.Gray-man
8.77 	| 179663  	| 14475    	| 8.06%	| Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.
9.27 	| 424625  	| 45818    	| 10.79%	| Vagabond
8.69 	| 668836  	| 85625    	| 12.80%	| Chainsaw Man
---------------------------------------------------------------------
score	| members	| favorites	| ratio	| sorted by RATIO
--------------------------------------------------------------------------------------------------------------


